1 cycle, Latency : 130.585998704 usec 
2 cycle, Latency : 238.519998675 usec 
3 cycle, Latency : 224.726998567 usec 
4 cycle, Latency : 217.48799918 usec 
5 cycle, Latency : 445.081997896 usec 
6 cycle, Latency : 127.309998788 usec 
7 cycle, Latency : 212.622999243 usec 
8 cycle, Latency : 201.300001208 usec 
9 cycle, Latency : 222.951999604 usec 
10 cycle, Latency : 430.443000369 usec 
11 cycle, Latency : 99.1489978333 usec 
12 cycle, Latency : 172.186999407 usec 
13 cycle, Latency : 535.45099945 usec 
14 cycle, Latency : 170.881998201 usec 
15 cycle, Latency : 185.862001672 usec 
16 cycle, Latency : 570.225998672 usec 
17 cycle, Latency : 143.995999679 usec 
18 cycle, Latency : 7.43000055081 usec 
19 cycle, Latency : 5.77999890083 usec 
20 cycle, Latency : 745.749999624 usec 
21 cycle, Latency : 4.12000008509 usec 
22 cycle, Latency : 98.9820000541 usec 
23 cycle, Latency : 67.7289972373 usec 
24 cycle, Latency : 7.4700001278 usec 
25 cycle, Latency : 3.50000118488 usec 
26 cycle, Latency : 526.812000317 usec 
27 cycle, Latency : 107.967000076 usec 
28 cycle, Latency : 5.99999839324 usec 
29 cycle, Latency : 5.51999983145 usec 
30 cycle, Latency : 3.23999847751 usec 
31 cycle, Latency : 44.0100011474 usec 
32 cycle, Latency : 148.833998537 usec 
33 cycle, Latency : 2.9100010579 usec 
34 cycle, Latency : 1131.78099855 usec 
35 cycle, Latency : 3.54999792762 usec 
36 cycle, Latency : 625.982997008 usec 
37 cycle, Latency : 5.98000042373 usec 
38 cycle, Latency : 5.54000143893 usec 
39 cycle, Latency : 3.37000165018 usec 
40 cycle, Latency : 105.546001578 usec 
41 cycle, Latency : 122.405999718 usec 
42 cycle, Latency : 227.327000175 usec 
43 cycle, Latency : 327.809000737 usec 
44 cycle, Latency : 410.357002693 usec 
45 cycle, Latency : 209.992002056 usec 
46 cycle, Latency : 211.784001294 usec 
47 cycle, Latency : 215.028998355 usec 
48 cycle, Latency : 223.741997615 usec 
49 cycle, Latency : 534.116999916 usec 
50 cycle, Latency : 99.2069981294 usec 
51 cycle, Latency : 168.884998857 usec 
52 cycle, Latency : 168.086997292 usec 
53 cycle, Latency : 193.060001038 usec 
54 cycle, Latency : 185.539996892 usec 
55 cycle, Latency : 429.731000622 usec 
56 cycle, Latency : 6.17999830865 usec 
57 cycle, Latency : 5.91999923927 usec 
58 cycle, Latency : 7.75000080466 usec 
59 cycle, Latency : 8.04999945103 usec 
60 cycle, Latency : 424.462999945 usec 
61 cycle, Latency : 3.17000012728 usec 
62 cycle, Latency : 100.145000033 usec 
63 cycle, Latency : 67.7200005157 usec 
64 cycle, Latency : 7.19999661669 usec 
65 cycle, Latency : 3.73000148102 usec 
66 cycle, Latency : 89.0000010259 usec 
67 cycle, Latency : 4.12000008509 usec 
68 cycle, Latency : 14.3899997056 usec 
69 cycle, Latency : 6.28999987384 usec 
70 cycle, Latency : 3.62999708159 usec 
71 cycle, Latency : 38.5200000892 usec 
72 cycle, Latency : 150.525000208 usec 
73 cycle, Latency : 3.15000215778 usec 
74 cycle, Latency : 362.141003279 usec 
75 cycle, Latency : 5.55000224267 usec 
76 cycle, Latency : 8.90999945113 usec 
77 cycle, Latency : 8.3300001279 usec 
78 cycle, Latency : 6.63999890094 usec 
79 cycle, Latency : 8.30999852042 usec 
80 cycle, Latency : 163.720000273 usec 
81 cycle, Latency : 87.7729980857 usec 
82 cycle, Latency : 122.991001263 usec 
83 cycle, Latency : 225.616000535 usec 
84 cycle, Latency : 217.67400176 usec 
85 cycle, Latency : 424.781999754 usec 
86 cycle, Latency : 205.811997148 usec 
87 cycle, Latency : 124.987000163 usec 
88 cycle, Latency : 205.166001251 usec 
89 cycle, Latency : 194.999000087 usec 
90 cycle, Latency : 493.896000989 usec 
91 cycle, Latency : 99.0610024019 usec 
92 cycle, Latency : 168.236001628 usec 
93 cycle, Latency : 175.466000655 usec 
94 cycle, Latency : 8.7500011432 usec 
95 cycle, Latency : 6.80000084685 usec 
96 cycle, Latency : 577.904000238 usec 
97 cycle, Latency : 119.659001939 usec 
98 cycle, Latency : 8.40999928187 usec 
99 cycle, Latency : 6.75000046613 usec 
100 cycle, Latency : 3.92000220018 usec 

Average Latency : 167.098669881 usec 
Max Latency: 1131.78099855 usecs at timestamp: 19959.4712126 
Min Latency: 2.9100010579 usecs at timestamp: 19959.4688476 
